player,FGM,FGA,FTM,FTA,TPM,REB,AST,STL,BLK,PTS,TO
Jaylen Brown,4.8899991,10.57,1.9800079,2.99,1.6,4.62,1.48,0.94,0.33,13.36,1.56
Trey Lyles,3.8499792,8.11,1.479996,2.1,1.22,5.09,1.33,0.45,0.5,10.42,0.89
Mario Hezonja,3.7999905,8.83,1.2400038,1.53,1.32,3.96,1.63,0.97,0.43,10.17,1.37
Caris LeVert,4.499973,10.35,1.8700089,2.63,1.19,3.65,4.22,1.15,0.3,12.08,2.15
J.J. Barea,4.39,10,1.1499957,1.47,1.66,2.91,6.3,0.5,0.04,11.6,2.07
Fred VanVleet,3.019968,7.35,1.130004,1.35,1.41,2.47,3.27,0.91,0.25,8.7,0.99
Dirk Nowitzki,3.490032,8.16,0.9000009,1.01,1.46,4.46,1.36,0.44,0.44,9.33,0.63
James Ennis III,3.029994,6.6,1.340008,1.7,1.28,3.74,1.04,0.83,0.35,8.68,0.83
Denzel Valentine,3.730002,9.06,0.7400025,0.95,1.89,4.2,2.77,0.77,0.18,10.12,1.29
John Henson,2.9300252,5.29,0.9500014,1.66,0.01,5.4,1.2,0.46,1.16,6.83,0.89
Gerald Green,3.8700377,9.53,1.1700054,1.38,2.53,3.04,0.56,0.55,0.34,11.46,0.71
Delon Wright,2.5900128,5.58,1.2700071,1.53,0.72,2.54,2.58,0.93,0.42,7.19,1.01
Ryan Anderson,3.1300258,7.27,1.089998,1.4,1.98,5.01,0.9,0.36,0.31,9.34,0.65
Marcus Morris,4.5799908,10.67,2.1599893,2.69,1.5,5.05,1.25,0.61,0.2,12.83,1.13
Wilson Chandler,4.0199754,9.03,1.1900037,1.59,1.35,4.59,1.67,0.57,0.45,10.6,1.21
Patty Mills,3.689985,8.94,1.2499936,1.46,2.08,2.06,2.97,0.75,0.09,10.71,1.22
Kosta Koufos,3.1199786,5.47,0.4600024,1.04,0,6.63,1.22,0.67,0.45,6.71,0.69
Dante Exum,4.0400367,8.39,2.4099856,2.98,0.48,2.5,4.14,0.77,0.28,10.99,1.92
Jeremy Lin,3.8700384,9.28,3.0700024,3.76,1.06,2.78,3.54,0.99,0.38,11.88,2.06
Trey Burke,5.0399965,12.01,1.3500054,1.78,1.13,2.21,5.32,0.74,0.12,12.62,1.34
